"rok","odvetvi","prumerna_mzda","potravina","prumerna_cena"
2006,Informační a komunikační činnosti,34942.000000000000,Konzumní brambory,12.074919999999967
2006,Informační a komunikační činnosti,34942.000000000000,Kuřata kuchaná celá,47.47376000000001
2006,Informační a komunikační činnosti,34942.000000000000,Máslo,104.38782666666722
2006,Informační a komunikační činnosti,34942.000000000000,Mléko polotučné pasterované,14.437840000000014
2006,Informační a komunikační činnosti,34942.000000000000,Mrkev,14.409266666666614
2006,Informační a komunikační činnosti,34942.000000000000,Papriky,35.310159999999996
2006,Informační a komunikační činnosti,34942.000000000000,Pečivo pšeničné bílé,38.59642666666675
2006,Informační a komunikační činnosti,34942.000000000000,"Pivo výčepní, světlé, lahvové",8.449613333333406
2006,Informační a komunikační činnosti,34942.000000000000,Pomeranče,24.73317333333329
2006,Informační a komunikační činnosti,34942.000000000000,Přírodní minerální voda uhličitá,7.687920000000011
2006,Informační a komunikační činnosti,34942.000000000000,Pšeničná mouka hladká,7.407573333333341
2006,Informační a komunikační činnosti,34942.000000000000,Rajská jablka červená kulatá,57.82961333333339
2006,Informační a komunikační činnosti,34942.000000000000,Rostlinný roztíratelný tuk,69.45211999999947
2006,Informační a komunikační činnosti,34942.000000000000,Rýže loupaná dlouhozrnná,21.2896666666667
2006,Informační a komunikační činnosti,34942.000000000000,Šunkový salám,116.77441333333299
2006,Informační a komunikační činnosti,34942.000000000000,Těstoviny vaječné,26.095533333333123
2006,Informační a komunikační činnosti,34942.000000000000,Vejce slepičí čerstvá,23.494840000000337
2006,Informační a komunikační činnosti,34942.000000000000,Vepřová pečeně s kostí,105.17778666666564
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Banány žluté,27.304639999999917
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Cukr krystalový,21.726613333333297
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Eidamská cihla,110.94665333333282
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Hovězí maso zadní bez kosti,166.33739999999716
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Chléb konzumní kmínový,16.123639999999945
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Jablka konzumní,30.71454666666646
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Jogurt bílý netučný,5.829359999999929
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Kapr živý,69.34977777777766
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Konzumní brambory,12.074919999999974
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Kuřata kuchaná celá,47.47375999999999
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Máslo,104.38782666666727
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Mléko polotučné pasterované,14.43784
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Mrkev,14.409266666666605
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Papriky,35.31015999999993
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Pečivo pšeničné bílé,38.59642666666663
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,"Pivo výčepní, světlé, lahvové",8.449613333333406
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Pomeranče,24.733173333333227
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Přírodní minerální voda uhličitá,7.687920000000005
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Pšeničná mouka hladká,7.407573333333337
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Rajská jablka červená kulatá,57.82961333333336
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Rostlinný roztíratelný tuk,69.45211999999944
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Rýže loupaná dlouhozrnná,21.28966666666675
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Šunkový salám,116.77441333333306
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Těstoviny vaječné,26.095533333333073
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Vejce slepičí čerstvá,23.49484000000033
2006,"Kulturní, zábavní a rekreační činnosti",15477.500000000000,Vepřová pečeně s kostí,105.17778666666561
2006,Ostatní činnosti,9983.5000000000000000,Banány žluté,27.30463999999996
2006,Ostatní činnosti,9983.5000000000000000,Cukr krystalový,21.726613333333287
2006,Ostatní činnosti,9983.5000000000000000,Eidamská cihla,110.94665333333305
2006,Ostatní činnosti,9983.5000000000000000,Hovězí maso zadní bez kosti,166.33739999999705
2006,Ostatní činnosti,9983.5000000000000000,Chléb konzumní kmínový,16.12363999999993
2006,Ostatní činnosti,9983.5000000000000000,Jablka konzumní,30.714546666666457
2006,Ostatní činnosti,9983.5000000000000000,Jogurt bílý netučný,5.82935999999994
2006,Ostatní činnosti,9983.5000000000000000,Kapr živý,69.34977777777766
2006,Ostatní činnosti,9983.5000000000000000,Konzumní brambory,12.074919999999974
2006,Ostatní činnosti,9983.5000000000000000,Kuřata kuchaná celá,47.473759999999935
2006,Ostatní činnosti,9983.5000000000000000,Máslo,104.38782666666708
2006,Ostatní činnosti,9983.5000000000000000,Mléko polotučné pasterované,14.43784000000001
2006,Ostatní činnosti,9983.5000000000000000,Mrkev,14.409266666666625
2006,Ostatní činnosti,9983.5000000000000000,Papriky,35.31015999999996
2006,Ostatní činnosti,9983.5000000000000000,Pečivo pšeničné bílé,38.59642666666682
2006,Ostatní činnosti,9983.5000000000000000,"Pivo výčepní, světlé, lahvové",8.449613333333408
2006,Ostatní činnosti,9983.5000000000000000,Pomeranče,24.733173333333237
2006,Ostatní činnosti,9983.5000000000000000,Přírodní minerální voda uhličitá,7.687919999999995
2006,Ostatní činnosti,9983.5000000000000000,Pšeničná mouka hladká,7.4075733333333424
2006,Ostatní činnosti,9983.5000000000000000,Rajská jablka červená kulatá,57.829613333333384
2006,Ostatní činnosti,9983.5000000000000000,Rostlinný roztíratelný tuk,69.45211999999944
2006,Ostatní činnosti,9983.5000000000000000,Rýže loupaná dlouhozrnná,21.289666666666733
2006,Ostatní činnosti,9983.5000000000000000,Šunkový salám,116.77441333333296
2006,Ostatní činnosti,9983.5000000000000000,Těstoviny vaječné,26.095533333333073
2006,Ostatní činnosti,9983.5000000000000000,Vejce slepičí čerstvá,23.49484000000023
2006,Ostatní činnosti,9983.5000000000000000,Vepřová pečeně s kostí,105.1777866666658
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Banány žluté,27.304639999999928
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Cukr krystalový,21.72661333333327
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Eidamská cihla,110.94665333333288
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Hovězí maso zadní bez kosti,166.33739999999716
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Chléb konzumní kmínový,16.123639999999945
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Jablka konzumní,30.714546666666457
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Jogurt bílý netučný,5.829359999999949
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Kapr živý,69.34977777777767
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Konzumní brambory,12.074919999999985
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Kuřata kuchaná celá,47.47375999999996
2006,Peněžnictví a pojišťovnictví,39353.250000000000,Máslo,104.38782666666708
